"Q41.Sex","sus_val","aes_val"
"Female",45,10
"Male",41,10
"Male",37,8
"Male",38,9
"Female",37,10
"Male",27,6
"Female",33,10
"Female",33,8
"Female",36,10
"Male",44,9
"Female",33,6
"Male",34,6
"Male",29,10
"Male",45,7
"Male",39,6
"Male",36,6
"Male",45,8
"Female",41,10
"Male",41,10
"Male",30,7
"Male",36,8
"Male",41,8
"Male",36,8
"Male",40,7
"Female",37,8
"Male",36,8
"Male",39,10
"Male",34,8
"Male",34,7
"Male",39,6
"Male",28,8
"Female",36,8
"Female",37,9
"Female",45,10
"Female",45,10
"Male",27,6
"Female",31,10
"Male",37,8
"Male",32,8
"Female",45,10
"Female",36,8
"Female",34,6
"Male",45,10
"Male",43,10
"Male",35,10
"Female",38,10
"Female",36,8
"Female",45,10
"Male",39,6
"Male",35,8
"Male",39,10
"Male",45,10
"Male",36,8
"Male",40,8
"Male",33,7
"Male",35,8.1
"Female",34,7
"Male",36,10
"Male",31,10
"Male",45,10
"Male",45,9
"Male",40,10
"Male",27,8
"Female",30,10
"Female",36,8
"Female",45,10
"Male",43,7
"Female",44,8
"Male",44,9
"Female",44,8
"Female",22,8
"Female",30.5,8
"Male",45,10
"Male",37,8
"Female",40,8
"Male",17,2
"Female",35,8
"Female",37,6
"Male",35,10
"Male",31,6
"Male",45,10
"Male",39,5
"Female",34,9
"Female",27,9
"Female",36,8
"Male",45,10
"Female",37,8
"Female",33,8
"Female",35,10
"Female",37,8
"Female",36,8
"Female",36,8
"Female",29,9
"Male",37,9
"Female",27,6
"Female",36,8
"Female",45,10
"Male",45,10
"Female",32,6
"Female",30,8
"Female",28,5
"Female",36,8
"Female",41,6
"Male",32,6
"Female",45,10
"Female",32,8
"Female",37,6
"Female",34,10
"Female",24,10
"Female",36,8
"Female",35,8
"Female",40,10
"Female",37,10
"Female",37,8
"Female",30,9
"Female",37,8
"Female",38,8
"Female",37,8
"Female",38,6
"Female",36,8
"Female",31,8
"Male",41,10
"Female",35,7
"Female",27,5
"Female",37.1,6
"Female",26,6
"Female",41,8
"Female",44,10
"Female",41,8
"Female",41,10
"Male",37,5
"Female",45,10
"Female",38,10
"Female",35,8
"Female",32,6
"Male",36,10
"Female",39,10
"Female",42.8,10
"Female",39,8
"Female",41,10
"Female",34,6
"Female",45,10
"Male",43,10
"Female",35,8
"Female",32,6
"Female",35,7
"Female",30,6
"Female",44,10
"Female",36,6
"Female",37,9
"Female",31,8
"Female",36,8
"Female",30,6
"Female",15,8
"Female",38,7
"Female",36,6
"Female",37,10
"Female",35,6
"Female",38,8
"Female",44,10
"Female",36,7
"Female",45,10
"Female",37,10
"Female",38,10
"Male",36,7
"Female",42,10
"Female",27,6
"Female",45,10
"Female",36,7
"Female",34,8
"Female",39,9
"Female",36,8
"Female",31,9
"Female",45,10
"Female",39,9
"Female",44,10
"Female",28,8
"Female",37,8
"Female",39,10
"Female",45,10
"Male",28,10
"Female",31.8,8
"Female",25,6
"Male",32,6
"Female",28,8
"Male",33,7
"Female",45,10
"Female",43,10
"Female",42.4,10
"Female",40,7
"Female",38,10
"Female",33,8
"Female",38,8
"Female",29,6
"Female",31,10
"Female",38,7
"Female",42,9
"Female",45,10
"Female",32,8
"Female",27,8
"Female",38,8
"Female",36,8
"Female",44,9
"Male",32,6
"Female",38,7
"Female",34,6
"Female",44,8
"Female",38,10
"Female",36,8
"Male",30,8
"Female",37,8
"Female",27,6
"Female",36,10
"Female",31,7
"Female",44,10
"Female",38,9
"Female",35,8
"Female",35,5
"Female",38,8
"Female",32,8
"Female",36,10
"Female",35,8
"Female",39,9
"Female",41,10
"Female",41,10
"Female",45,10
"Male",27,10
"Female",38,8
"Female",24,6
"Female",30,7
"Female",30,8
"Male",35,7
"Female",39,10
"Female",44,7
"Female",34,8
"Female",37,8
"Female",44,8
"Male",35,8
"Female",28,8
"Female",33,6
"Male",27,6
"Female",29,7
"Female",36,10
"Male",27,6
"Male",43,10
"Female",33,7
"Female",35,6
"Female",30,6
"Female",38,8
"Male",39,9
"Female",39,8
"Female",36,8
"Male",33,7
"Female",41,10
"Male",35,8
"Female",22,8
"Female",31,8
"Female",38,8
"Female",31,10
"Male",35,6
"Female",35,10
"Female",43,9
"Female",39,8
"Female",42,7
"Female",39,8
"Female",37,9
"Female",35,9
"Female",32,8
"Female",29,6
"Female",28,8
"Female",28,9
"Female",41,10
"Female",38,9
"Female",32,10
"Female",41,8
"Female",37,10
"Female",37,8
"Female",36,8
"Female",27,8
"Female",38,10
"Male",31,7
"Female",44,10
"Female",34,6
"Female",27,7
"Female",34,10
"Female",31,10
"Female",42,10
"Female",33,7
"Female",43,10
"Male",39,10
"Female",42,10
"Female",36,8
"Female",35,8
"Female",33.7,6
"Female",34,6
"Female",45,10
"Female",38,8
"Male",30,6
"Female",28,10
"Female",34,9
"Male",31,8
"Male",45,10
"Female",32,8
"Female",27,8
"Female",41,10
"Female",32,6
"Female",33,6
"Female",43,9
"Female",29,8
"Male",43,10
"Female",39,6
"Female",37,8
"Female",35,6
"Female",39,10
"Female",31,10
"Male",28,6
"Female",45,10
"Female",45,10
"Female",44,10
"Female",30,9
"Female",25,6
"Female",41,6
"Female",41,9
"Female",30,8
"Female",39,10
"Male",42,8
"Male",43,8
"Male",44,10
"Female",38,6
"Female",45,10
"Female",39,7
"Female",45,10
"Female",36,7
"Female",36,8
"Female",26,6
"Male",45,6
"Male",38,9
"Male",29.1,8
"Female",27,6
"Female",29,7
"Male",37,7
"Female",31,7
"Male",39,8
"Male",45,10
"Female",45,10
"Female",32,7
"Female",39,9
"Male",45,10
"Female",34,8
"Male",40,8
"Female",36,6
"Female",34,8
"Female",32,6
"Male",45,10
"Female",36,7
"Female",31,8
"Male",43,10
"Male",35,10
"Female",26,8
"Female",44,9
"Female",38,10
"Male",37,8
"Male",33,4
"Male",45,10
"Female",31,10
"Male",33,9
"Male",39,10
"Female",38,7
"Male",41,7
"Male",36,8
"Female",27,7
"Female",30,8
"Female",29,10
"Male",30,8
"Male",39,8
"Female",31,6
"Female",35,8
"Female",26,10
"Female",30,7
"Female",45,10
"Female",32,6
"Female",31,8
"Female",29,6
"Male",32,10
"Female",37,9
"Female",35,7
"Female",40,10
"Female",45,10
"Male",33,8
"Female",40,8
"Male",37,6
"Female",31,10
"Male",42,10
"Male",38,8
"Female",42,8
"Female",32,10
"Male",28,9
"Male",45,10
"Female",40,10
"Male",38,8
"Female",27,6
"Male",36,7
"Male",33,5
"Male",32,5
"Male",40,10
"Male",36,7
"Female",29,7
"Female",33,8
"Male",36,8
"Female",38,8
"Male",33,6
"Male",42,8
"Male",45,10
"Male",35,7
"Female",37,8
"Female",36,9
"Female",39.7,8
"Female",33,8
"Female",31,10
"Male",37,10
"Male",37,8
"Male",44,10
"Male",36,8
"Female",30,8
"Male",32,7
"Female",45,10
"Male",45,6
"Female",43,8
"Female",40,6
"Male",38,8
"Male",27,7
"Female",35,9
"Male",33,8
"Female",40,10
"Female",37,10
"Male",27,6
"Female",39,8
"Female",43,9
"Male",42.3,10
"Male",31,6
"Female",36,10
"Female",36,7
"Male",34,7
"Female",40,7
"Female",27,6
"Male",37,10
"Male",40,3
"Male",37,10
"Female",30,10
"Male",38,6
"Female",42,7
"Female",45,10
"Male",35,8
"Male",38,6
"Male",28,6
"Male",45,10
"Male",45,10
"Male",34,8
"Female",36,10
"Male",37,8
"Male",45,10
"Male",31,7
"Female",31,10
"Female",32,8
"Male",39,10
"Male",27,6
"Male",33,8
"Male",43,8
"Male",19,7
"Female",39,10
"Male",27,6
"Female",40,7
"Female",36,8
"Female",34,8
"Male",27,6
"Male",35,8
"Male",35,7
"Male",42,9
"Female",39,7
"Female",42,9
"Female",26,10
"Male",32,6
"Female",29,6
"Male",35,7
"Female",38,10
"Male",27,6
"Male",36,8
"Female",31,8
"Male",44,10
"Female",36,8
"Female",35,8
"Male",38,10
"Female",32,8
"Female",39,8
"Female",33,6
"Female",28,7
"Female",32,8
"Male",30,4
"Female",42,8.1
"Female",36,8
"Male",23,4
"Female",27,8
"Female",43,7
"Male",40,10
"Female",28,7
"Female",29,8
"Female",32,8
"Male",35,8
"Female",43,8
"Female",45,10
"Male",43,9
"Male",29,9
"Female",34,8
"Male",45,6
"Female",26,8
"Female",36,8
"Female",35,8
"Female",38,10
"Female",27,6
"Male",35,10
"Male",38,10
"Female",45,10
"Male",45,10
"Male",32,8
"Female",31,9
"Female",39,10
"Male",20,10
"Male",45,8
"Female",34,10
"Male",30,8
"Female",44,9
"Female",26,9
"Female",41,10
"Female",43,10
"Male",35,6
"Female",35,8
"Female",37,10
"Female",25,9
"Female",29,8
"Female",30,9
"Female",41,8
"Female",35,7
"Female",36,8
"Male",35,6
"Male",36,8
"Male",36,8
"Male",28,6
"Female",36,8
"Female",36,7
"Female",36,8
"Female",26,10
"Female",29,8
"Female",36,6
"Female",43,8
"Female",40,10
"Female",45,10
"Male",27,6
"Female",45,10
"Male",36,8
