"Q41.Sex","sus_val","aes_val","score_sum"
"2",45,10,55
"1",41,10,51
"1",37,8,45
"1",38,9,47
"2",37,10,47
"1",27,6,33
"2",33,10,43
"2",33,8,41
"2",36,10,46
"1",44,9,53
"2",33,6,39
"1",34,6,40
"1",29,10,39
"1",45,7,52
"1",39,6,45
"1",36,6,42
"1",45,8,53
"2",41,10,51
"1",41,10,51
"1",30,7,37
"1",36,8,44
"1",41,8,49
"1",36,8,44
"1",40,7,47
"2",37,8,45
"1",36,8,44
"1",39,10,49
"1",34,8,42
"1",34,7,41
"1",39,6,45
"1",28,8,36
"2",36,8,44
"2",37,9,46
"1",45,10,55
"2",45,10,55
"1",27,6,33
"2",31,10,41
"1",37,8,45
"1",32,8,40
"2",45,10,55
"2",36,8,44
"2",34,6,40
"1",45,10,55
"1",43,10,53
"1",35,10,45
"2",38,10,48
"2",36,8,44
"2",45,10,55
"1",39,6,45
"1",35,8,43
"1",39,10,49
"1",45,10,55
"1",36,8,44
"1",40,8,48
"1",33,7,40
"1",35,8.1,43.1
"2",34,7,41
"1",36,10,46
"1",31,10,41
"1",45,10,55
"1",45,9,54
"1",40,10,50
"1",27,8,35
"2",30,10,40
"2",36,8,44
"2",45,10,55
"1",43,7,50
"2",44,8,52
"1",44,9,53
"2",44,8,52
"2",22,8,30
"2",30.5,8,38.5
"1",45,10,55
"1",37,8,45
"2",40,8,48
"1",17,2,19
"2",35,8,43
"2",37,6,43
"1",35,10,45
"1",31,6,37
"1",45,10,55
"1",39,5,44
"2",34,9,43
"2",27,9,36
"2",36,8,44
"1",45,10,55
"2",37,8,45
"2",33,8,41
"2",35,10,45
"2",37,8,45
"2",36,8,44
"2",36,8,44
"2",29,9,38
"1",37,9,46
"2",27,6,33
"2",36,8,44
"2",45,10,55
"1",45,10,55
"2",32,6,38
"2",30,8,38
"2",28,5,33
"2",36,8,44
"2",41,6,47
"1",32,6,38
"2",45,10,55
"2",32,8,40
"2",37,6,43
"2",34,10,44
"2",24,10,34
"2",36,8,44
"2",35,8,43
"2",40,10,50
"2",37,10,47
"2",37,8,45
"2",30,9,39
"2",37,8,45
"2",38,8,46
"2",37,8,45
"2",38,6,44
"2",36,8,44
"2",31,8,39
"1",41,10,51
"2",35,7,42
"2",27,5,32
"2",37.1,6,43.1
"2",26,6,32
"2",41,8,49
"2",44,10,54
"2",41,8,49
"2",41,10,51
"1",37,5,42
"2",45,10,55
"2",38,10,48
"2",35,8,43
"2",32,6,38
"1",36,10,46
"2",39,10,49
"2",42.8,10,52.8
"2",39,8,47
"2",41,10,51
"2",34,6,40
"2",45,10,55
"1",43,10,53
"2",35,8,43
"2",32,6,38
"2",35,7,42
"2",30,6,36
"2",44,10,54
"2",36,6,42
"2",37,9,46
"2",31,8,39
"2",36,8,44
"2",30,6,36
"2",15,8,23
"2",38,7,45
"2",36,6,42
"2",37,10,47
"2",35,6,41
"2",38,8,46
"2",44,10,54
"2",36,7,43
"2",45,10,55
"2",37,10,47
"2",38,10,48
"1",36,7,43
"2",42,10,52
"2",27,6,33
"2",45,10,55
"2",36,7,43
"2",34,8,42
"2",39,9,48
"2",36,8,44
"2",31,9,40
"2",45,10,55
"2",39,9,48
"2",44,10,54
"2",28,8,36
"2",37,8,45
"2",39,10,49
"2",45,10,55
"1",28,10,38
"2",31.8,8,39.8
"2",25,6,31
"1",32,6,38
"2",28,8,36
"1",33,7,40
"2",45,10,55
"2",43,10,53
"2",42.4,10,52.4
"2",40,7,47
"2",38,10,48
"2",33,8,41
"2",38,8,46
"2",29,6,35
"2",31,10,41
"2",38,7,45
"2",42,9,51
"2",45,10,55
"2",32,8,40
"2",27,8,35
"2",38,8,46
"2",36,8,44
"2",44,9,53
"1",32,6,38
"2",38,7,45
"2",34,6,40
"2",44,8,52
"2",38,10,48
"2",36,8,44
"1",30,8,38
"2",37,8,45
"2",27,6,33
"2",36,10,46
"2",31,7,38
"2",44,10,54
"2",38,9,47
"2",35,8,43
"2",35,5,40
"2",38,8,46
"2",32,8,40
"2",36,10,46
"2",35,8,43
"2",39,9,48
"2",41,10,51
"2",41,10,51
"2",45,10,55
"1",27,10,37
"2",38,8,46
"2",24,6,30
"2",30,7,37
"2",30,8,38
"1",35,7,42
"2",39,10,49
"2",44,7,51
"2",34,8,42
"2",37,8,45
"2",44,8,52
"1",35,8,43
"2",28,8,36
"2",33,6,39
"1",27,6,33
"2",29,7,36
"2",36,10,46
"1",27,6,33
"1",43,10,53
"2",33,7,40
"2",35,6,41
"2",30,6,36
"2",38,8,46
"1",39,9,48
"2",39,8,47
"2",36,8,44
"1",33,7,40
"2",41,10,51
"1",35,8,43
"2",22,8,30
"2",31,8,39
"2",38,8,46
"2",31,10,41
"1",35,6,41
"2",35,10,45
"2",43,9,52
"2",39,8,47
"2",42,7,49
"2",39,8,47
"2",37,9,46
"2",35,9,44
"2",32,8,40
"2",29,6,35
"2",28,8,36
"2",28,9,37
"2",41,10,51
"2",38,9,47
"2",32,10,42
"2",41,8,49
"2",37,10,47
"2",37,8,45
"2",36,8,44
"2",27,8,35
"2",38,10,48
"1",31,7,38
"2",44,10,54
"2",34,6,40
"2",27,7,34
"2",34,10,44
"2",31,10,41
"2",42,10,52
"2",33,7,40
"2",43,10,53
"1",39,10,49
"2",42,10,52
"2",36,8,44
"2",35,8,43
"2",33.7,6,39.7
"2",34,6,40
"2",45,10,55
"2",38,8,46
"1",30,6,36
"2",28,10,38
"2",34,9,43
"1",31,8,39
"1",45,10,55
"2",32,8,40
"2",27,8,35
"2",41,10,51
"2",32,6,38
"2",33,6,39
"2",43,9,52
"2",29,8,37
"1",43,10,53
"2",39,6,45
"2",37,8,45
"2",35,6,41
"2",39,10,49
"2",31,10,41
"1",28,6,34
"2",45,10,55
"2",45,10,55
"2",44,10,54
"2",30,9,39
"2",25,6,31
"2",41,6,47
"2",41,9,50
"2",30,8,38
"2",39,10,49
"1",42,8,50
"1",43,8,51
"1",44,10,54
"2",38,6,44
"2",45,10,55
"2",39,7,46
"2",45,10,55
"2",36,7,43
"2",36,8,44
"2",26,6,32
"1",45,6,51
"1",38,9,47
"1",29.1,8,37.1
"2",27,6,33
"2",29,7,36
"1",37,7,44
"2",31,7,38
"1",39,8,47
"1",45,10,55
"2",45,10,55
"2",32,7,39
"2",39,9,48
"1",45,10,55
"2",34,8,42
"1",40,8,48
"2",36,6,42
"2",34,8,42
"2",32,6,38
"1",45,10,55
"2",36,7,43
"2",31,8,39
"1",43,10,53
"1",35,10,45
"2",26,8,34
"2",44,9,53
"2",38,10,48
"1",37,8,45
"1",33,4,37
"1",45,10,55
"2",31,10,41
"1",33,9,42
"1",39,10,49
"2",38,7,45
"1",41,7,48
"1",36,8,44
"2",27,7,34
"2",30,8,38
"2",29,10,39
"1",30,8,38
"1",39,8,47
"2",31,6,37
"2",35,8,43
"2",26,10,36
"2",30,7,37
"2",45,10,55
"2",32,6,38
"2",31,8,39
"2",29,6,35
"1",32,10,42
"2",37,9,46
"2",35,7,42
"2",40,10,50
"2",45,10,55
"1",33,8,41
"2",40,8,48
"1",37,6,43
"2",31,10,41
"1",42,10,52
"1",38,8,46
"2",42,8,50
"2",32,10,42
"1",28,9,37
"1",45,10,55
"2",40,10,50
"1",38,8,46
"2",27,6,33
"1",36,7,43
"1",33,5,38
"1",32,5,37
"1",40,10,50
"1",36,7,43
"2",29,7,36
"2",33,8,41
"1",36,8,44
"2",38,8,46
"1",33,6,39
"1",42,8,50
"1",45,10,55
"1",35,7,42
"2",37,8,45
"2",36,9,45
"2",39.7,8,47.7
"2",33,8,41
"2",31,10,41
"1",37,10,47
"1",37,8,45
"1",44,10,54
"1",36,8,44
"2",30,8,38
"1",32,7,39
"2",45,10,55
"1",45,6,51
"2",43,8,51
"2",40,6,46
"1",38,8,46
"1",27,7,34
"2",35,9,44
"1",33,8,41
"2",40,10,50
"2",37,10,47
"1",27,6,33
"2",39,8,47
"2",43,9,52
"1",42.3,10,52.3
"1",31,6,37
"2",36,10,46
"2",36,7,43
"1",34,7,41
"2",40,7,47
"2",27,6,33
"1",37,10,47
"1",40,3,43
"1",37,10,47
"2",30,10,40
"1",38,6,44
"2",42,7,49
"2",45,10,55
"1",35,8,43
"1",38,6,44
"1",28,6,34
"1",45,10,55
"1",45,10,55
"1",34,8,42
"2",36,10,46
"1",37,8,45
"1",45,10,55
"1",31,7,38
"2",31,10,41
"2",32,8,40
"1",39,10,49
"1",27,6,33
"1",33,8,41
"1",43,8,51
"1",19,7,26
"2",39,10,49
"1",27,6,33
"2",40,7,47
"2",36,8,44
"2",34,8,42
"1",27,6,33
"1",35,8,43
"1",35,7,42
"1",42,9,51
"2",39,7,46
"2",42,9,51
"2",26,10,36
"1",32,6,38
"2",29,6,35
"1",35,7,42
"2",38,10,48
"1",27,6,33
"1",36,8,44
"2",31,8,39
"1",44,10,54
"2",36,8,44
"2",35,8,43
"1",38,10,48
"2",32,8,40
"2",39,8,47
"2",33,6,39
"2",28,7,35
"2",32,8,40
"1",30,4,34
"2",42,8.1,50.1
"2",36,8,44
"1",23,4,27
"2",27,8,35
"2",43,7,50
"1",40,10,50
"2",28,7,35
"2",29,8,37
"2",32,8,40
"1",35,8,43
"2",43,8,51
"2",45,10,55
"1",43,9,52
"1",29,9,38
"2",34,8,42
"1",45,6,51
"2",26,8,34
"2",36,8,44
"2",35,8,43
"2",38,10,48
"2",27,6,33
"1",35,10,45
"1",38,10,48
"2",45,10,55
"1",45,10,55
"1",32,8,40
"2",31,9,40
"2",39,10,49
"1",20,10,30
"1",45,8,53
"2",34,10,44
"1",30,8,38
"2",44,9,53
"2",26,9,35
"2",41,10,51
"2",43,10,53
"1",35,6,41
"2",35,8,43
"2",37,10,47
"2",25,9,34
"2",29,8,37
"2",30,9,39
"2",41,8,49
"2",35,7,42
"2",36,8,44
"1",35,6,41
"1",36,8,44
"1",36,8,44
"1",28,6,34
"2",36,8,44
"2",36,7,43
"2",36,8,44
"2",26,10,36
"2",29,8,37
"2",36,6,42
"2",43,8,51
"2",40,10,50
"2",45,10,55
"1",27,6,33
"2",45,10,55
"1",36,8,44
"2",40,10,50
"2",37,10,47
"1",29,7,36
"1",33,8,41
"2",37,9,46
"2",42,10,52
"2",27,6,33
"1",31,9,40
"1",45,8,53
"2",27,6,33
"2",36,8,44
"2",36,8,44
"2",41,8,49
"2",42,9,51
"2",32,7,39
"2",32,10,42
"1",36,7,43
"2",31,7,38
"2",38,8,46
"2",41,10,51
"2",34,8,42
"2",43,8,51
"2",35,7,42
"2",32,8,40
"2",38,10,48
"1",37,7,44
"2",36,10,46
"1",27,9,36
"2",41,10,51
"2",36,8,44
"1",27,6,33
"2",36,8,44
"2",32,9,41
"2",37,8,45
"2",32,10,42
"1",29,8,37
"1",39,10,49
"2",36,8,44
"2",35,7,42
"2",36,8,44
"1",44,10,54
"2",36,6,42
"1",35,7,42
"1",37,8,45
"2",45,10,55
"2",44,10,54
"2",27,9,36
"2",31,7,38
"1",40,6,46
"1",31,8,39
"2",38,6,44
"2",44,10,54
"2",43,10,53
"1",45,10,55
"1",37,8,45
"1",33,7,40
"2",39,8,47
"1",29,7,36
"2",30,8,38
"2",45,10,55
"1",28,7.6,35.6
"1",15,9,24
"2",33,7,40
"1",31,8,39
"1",38,10,48
"2",34,7,41
"2",32,8,40
"2",35,8,43
"1",36,8,44
"2",34,8,42
"2",35,9,44
"2",41,10,51
"2",31,9,40
"2",37,5,42
"2",42,8,50
"2",31,8,39
"2",39,9,48
"2",36,10,46
"2",41,8,49
"2",28,8,36
"2",33,9,42
"2",40,9,49
"2",30,8,38
"2",37,7,44
"2",40,9,49
"2",28,8,36
"2",42,7,49
"2",33,8,41
"2",36,6,42
"1",31,8,39
"2",36,8,44
"2",29,8,37
"2",38,8,46
"2",36,5,41
"2",45,10,55
"2",31.7,8,39.7
"2",25,9,34
"2",44,10,54
"2",30,7,37
"2",37,10,47
"2",30,10,40
"2",41,10,51
"1",27,8,35
"2",42,10,52
"1",45,10,55
"2",36,8,44
"2",44,9,53
"2",43,9,52
"2",34,9,43
"1",43,6,49
"1",38,9,47
"1",37,9,46
"1",29,6,35
"2",33,8,41
"1",22,6,28
"1",40,9,49
"1",34,6,40
"2",37,10,47
"1",40,10,50
"2",36,8,44
"2",29,6,35
"1",37,10,47
"1",37,6,43
"2",32,8,40
"2",29,8,37
"1",42,10,52
"2",27.4,9,36.4
"1",40,10,50
"2",32,6,38
"2",31,8,39
"2",39,10,49
"2",35,8,43
"2",39,10,49
"1",34.9,7.9,42.8
"1",38,10,48
"2",35,8,43
"2",36,8,44
"2",37,10,47
"2",33,8,41
"2",36,9,45
"2",29,8,37
"1",40,7,47
"2",31,10,41
"2",34,9,43
"2",35,10,45
"2",38,10,48
"1",38,8,46
"2",38,10,48
"2",45,10,55
"2",35,10,45
"1",33,6,39
