"con_inno","sus_aes"
48,51
50,49
42,43
40,46
38,43
26,29
37,40
40,41
42,42
43,48
38,37
41,38
40,39
45,49
42,42
42,41
46,49
53,45
42,47
39,34
42,40
46,45
45,42
44,47
42,42
49,44
37,47
43,42
38,37
46,43
35,36
42,43
40,44
49,51
48,52
34,33
35,37
40,41
37,36
48,51
44,43
41,38
48,51
52,51
48,47
45,47
42,41
46,51
42,43
41,42
42,47
48,51
40,42
44,46
39,38
43,40.1
38,39
42,43
41,41
48,51
50,47
52,47
37,36
31,36
49,44
48,53
49,46
46,48
48,48
48.1,51
30,28
35.5,37.5
44,54
47,43
46,45.7
28,19
43,42
41,38
43,43
39,37
44,51
44,40
46,39
36,36
42,41
50,53
48,47
38,41
45,42
42,42
47,40
45,45
37,38
42,43
39,33
43,42
52,51
48,51
44,36
42,40
38,33
40,41
52,45
37,36
54,51
40,39
43,41
39,41
24,30
42,42
41,43
44,47
44,45
42,42
35,36
46,43
49,45
39,42
43,41
41,42
34,36
42,47
42,41
37,34
38.1,38.1
38,30
46,44
47,49
46,48
48,49
47,40
50,51
41,44
40,41
39,37
42,43
45,47
43.8,50.8
44,46
45,46
47,39
45,51
47,50
43,41
45,37
41,39
35,34
50,51
40,40
42,42
39,35
47,44
31,35
20,18
44,43
36,37
40,42
41,40
42,44
49,51
44,41
49,51
44,45
43,44
40,39
47,49
36,33
52,53
42,44
44,40
43,43
43,43
42,39
49,51
49,49
55,51
32,34
42,42
45,48
51,48
37,37
39.8,39.8
32,31
47,38
37,35
42,40
49,53
54,50
49,47
47,41
46,46
40,39
45,42
37,33
37,39
41,39
49,48
48,51
38,38
35,35
41,42
32,40
46,47
40,35
43,45
38,37
46,48
41,45
40,41
41,38
40,42
32,33
46,44
42,37
56,53
47,45
43,42
42,35
42,42
38,38
43,42
43,41
43,46
48,48
39,47
47,49
34,39
41,42
32,29
33,35
38,37
37,37
47,46
46,46
43,41
44,41
48,50
40,40
35,35
43,36
35,33
35,33
46,45
37,33
50,47
39,38
45,41
39,35
46,42
44,45
43,43
42,42
34,39
47,48
43,41
31,29
41,37
44,41
36,39
44,37
32,40
44,49
44,42
45,44
37,42
41,46
41,43
36,38
39,33
35,34
32,34
44,47
42,43
34,38
44,45
47,44
41,42
43,43
33,31
42,44
37,38
55,51
40,39
35,34
37,40
44,39
46,48
39,37
52,52
42,47
45,49
44,41
39,41
42.7,38.7
44,39
44,48
44,44
40,36
34,37
44,43
37,36
48,51
39,39
36,35
46,47
40,37
39,36
47,48
36,36
47,51
48,43
45,45
44,38
47,48
38,36
34,33
51,54
49,51
47,52
37,40
30,29
46,42
51,50
33,34
48,48
51,47
47,50
51,52
43,42
47,53
49.1,42
54,51
41,41
39,42
39,31
48,47
43,44
37.1,35.1
36,33
37,35
43,42
39,38.1
33,43
48,51
51,49
47,40
42,45
51,51
41,39
46,46
45,40
40,41
35,37
48,51
35,37
41,39
48,49
42,43
35,32
47,50
44,46
42,44
40,34
49,51
31,35
44,42
47,47
48,43
47,47
41,43
37,33
38,34
40,38
35,37
42,44
34,32
43,41
33,32
38,36
49,51
43,36
37,38
34,31
45.3,41
43,44
42,39
45,49
45,50
37,40
38,43
41.2,40
44,41
49,51
44,43
46,46
45,40
37,36
46,52
57,46
43,44
37,33
42,40
36,34
46,40
48,49
42,40
42,37
46,41
46.7,44
45,44
40,36
44,45
51,51
41,39
42,43
36,41
44,45.7
40,39
39,40
42,44
43,42
49,52
43,42
34,36
37,36
46,50
46,47
52,47
40,40
38,42
34,32
38,40
40,40
44,48
43,44
34,33
45,45
49,51
45,49
33,35
44,44
51,44
43,40
46,44
36,32
41,46
43,38
45,44
40,40
43,45
47,46
41,48
44,41
43,41
37,33
48,51
48,51
42,40
45,44
41,41
48,51
37,34
38.4,38
49,40
50,46
34,33
38,39
45,45
27,26
51,47
34,33
45.6,42
45,41
40,43
34,33
44,42
40.8,40
47,48
45,43
47,49
36,36
39,36
38,34
40,38
42,42
35,33
44,42
36,39
48,51
47,45
47,44
47,47
43,38
50,46
41,37
37,34
41,37
39,35
49,50.1
42,42
33,31
35,34
48,48
47,48
38,35
36,36
40,39
44,41
51,47
49,51
49,49
38,37
38,40
40,45
31,33
42,42
43,44
42,44
37,33
45,44
42,44
41,50
51,50
37,38
33,35
34,42
32,29
49,50
39,41
31,35
47,50
35,34
46,49
47,50
36,38
41,41
47,46
41,36
36,36
38,37
49,46
46,41
42,42
37,39
44,42
40,42
34,33
44,43
42,40
51,42
34.1111111111111,36
37,37
45,38
48,50
49,45
46,53
34,33
48,53
43,41
50,49
42,42
33,34
39,39
39,42
44,46
37,33
37,36
46,47
37,33
46,42
42,42
45,47
53,50
38,35
36,41
45,40
36,37
44,45
47,48
43,39
46,50
40,41
42,39
45,46
42,41
48,46
39,35
52,49
44,43
36,33
43,43
39,39
38,41
43,40
42,34
44,47
42,42
44,42
43,42
47,51
42,39
36,39
43,45
46,50
46,51
41,37
34,37
47,43
38,38
39,40
48,51
48,49
48,49
44,43
36,38
47,43
36,35
42,36
56,52
34,33.6
26,22
36,37
40,37
40,45
39,39
41,38
44,44
42,42
41,42
44,41
46.3,48
40,38
44,40
45,46
43,39
48,45
49,45
49,48
41,36
40,39
49,47
38,34
44,43
49,47
39,36
47,45
41,40
39,38
38,38
42,43
41,36
43,43
43,42
48,51
42,39
26,31
45,49
38,36
45,46
36,38
43,47
34,33
47,49
51,55
39,42
49,50
49,49
36,38
48,46
40,45
45,45
34,32
41,39
30,26
51,47
43,37
43,46
45,46
44,42
35,33
41,46
41.8,40
33,37
36,36
41,45
35.4,37.5
44,48
37,35
44,40
42,45
47,42
46,44
40.9,40.8
43,48
40,41
38,41
48,46
42,40
45,43
42,37
44,46
39,41
41,42
40,42
54,47
40,41
43,44
53,51
43,44
36,37
48,50
40,45
44,42
34,37
45,40
45,42
48,51
59,51
52,49
37,37
45,43
37,36
29,34
48,51
42,42
45,46
53,52
48,41
50,45
43.9,44
32,34
51,51
45,40
35,33
41,35
53,51
36,32
38,40
41,41
51,50
42,42
34,41
52,52
48,51
40,36
39,37
46,46
41,46
39,40
39,38
44,42
44,41
50,47
40,38
41,41
44,41
51,51
36,34
46,52
38.9,38
35.8,34
34,33
40,40
48,53
51,51
52,46
50,51
46,41
36,38
49,52
38,41
48,40
34,35
33,34
48,42
36,32
39,37
50,49
35,37
39,45
48,53
43,43
43,44
41,40
48,43
46,51
46,47
39,35
41,42
44,41
46,49
43,41
35,34.7
52,53
36,40
44,46
49,46
40,40
45,43
20,15
44,44
39,37
41,43
42,46
42,37
46,48
37,37
37,37
45,43
40,40
42,40
41,47
30,26
39,42
45,39
44.6,46
43,38
41,40
37,32
38,37
53,52
42,44
49,50
45,45
42,43
46,51
39,38
42,40
38,35
54,49
44,44
40,33
35,34
48,50
49,48
41,37
42.9,39.9
39,38
38,34
39,42
36,34
46,53
42,41
46,44
43,43
41,41
48,50
41,40
50,46
38,40
39,38
41,42
46,47
56,48
36,36
45,51
46,42
48,51
43,40
40,42
36,36
46,46
42,33
49,53
45,42
35,34
35,38
51,44
32,32
52,45
56,48
46,47
37,36
40,41
49,49
41,42
30,29
39,35
57,48
49,44
36,33
35,40
44,51
48,52
44,39
42,43
47,42
50,51
51,51
46,48
49,47
40,39
42,43
44,47
45,45
42,40
48,51
40,40
34,32
41,39
42,45
45,44
36,36
38,41
31,35
49,53
39,36
45,45
41,46
37,38
40,39
42,45
48,51
43,39
46,48
42,43
42,42
37,43
46,44
47,51
41,45
48,52
38,40
46,46
31,37
34,33
46,48
42.9,40
44,39
43,43
33,38
49,45
37,39
47,46
36,39
43,41
46,50
