"sus_val","green_con"
41,20
40,23
37,18
36,19
33,19
25,21
32,17
33,23
32,22
40,23
31,19
32,20
31,21
42,20
36,22
35,17
41,23
39,24
38,24
27,20
34,20
37,24
35,24
40,18
34,20
36,21
37,25
35,25
30,20
38,18
28,19
36,22
37,20
41,25
42,19
27,15
29,19
34,19
29,19
41,25
36,23
32,18
41,25
42,23
37,17
39,19
34,19
43,24
37,20
34,25
39,25
41,25
35,21
38,24
32,20
32,22
32,20
36,19
31,25
41,25
41,25
39,25
28,18
30,18
36,23
43,24
39,24
40,22
41,25
43,21
23,25
31.5,25
44,21.5
35,24
38,18
17,19
36,21
32,23
34,25
31,20
41,25
36,22
31,16
29,21
34,20
43,25
37,21
34,20
35,24
35,19
34,20
37,17
31,18
35,23
27,21
35,22
41,25
41,25
29,18
32,20
27,21
35,20
40,25
30,17
41,25
31,19
35,22
31,19
20,25
35,22
36,20
40,25
37,24
35,18
29,19
35,21
39,17
35,18
35,20
34,22
30,22
37,25
33,17
29,17.5
32.1,25
25,22
39,21
42,25
41,16
41,20
33,21
43,22
34,20
33,20
31,22
35,22
39,21
40.8,23
38,19
40,24
33,25
41,25
40,22
34,19
32,21
32,17
29,20
43,25
34,23
36,20
29,20
37,25
29,18
11,22
36,20
32,22
34,25
34,17
36,23
43,23
34,19
41,25
37,19
34,24
32,21
41,23
27,15
43,23
36,20
33,20.6
36,23
35,19
31,20
41,24.8
39,23
43,23
27,17
35,25
38,16
41,23
29,18
32.8,16
25,17
32,20
28,22
33,19
43,25
42,25
41,25
36,21
36,23
32,19
35,19
28,20
29,22
33,21
40,23
41,23
31,19
29,19
35,20
34,20
41,18
29,20
37,21
31,19
41,22
35,25
34,23
32,20
35,21
27,17
37,21
30,20
44,20
38,19
36,19
32,19
36,23
31,20
36,18
34,20
36,20
40,24
37,22
42,24
29,11
34,21
23,18
28,20
30,21
30,21
37,16
41,18
34,22
35,19
42,23
34,22
28,20
29,19
27,18
27,20
36,23
27,14
41,21
31,20
35,20
29,19
35,20
38,24
36,23
34,20
34,21
38,25
34,20
22,18
31,20
33,20
29,17
32,20
32,21
41,21
36,21
38,21
35,21
38,17
35,20
31,21
27,21
27,19
28,19
39,24
35,22
30,18
36,23
36,23
35,20
36,23
25,21
36,22
31,20
43,25
33,21
28,20
32,25
30,25
40,19
31,19
42,21
37,23
41,23
34,18
35,17
32.7,20
34,23
41,23
37,25
30,21
28,18
35,20
29,20
41,23
32,20
28,16
39,24
31,23
30,14
41,23
30,22
42,20
36,17
38,20
32,21
39,21
29,21
27,20
44,23
43,24
42,25
33,21
24,21
36,24
42,22
28,22
39,22
39,25
42,25
42,20
36,22
43,23
35,25
41,24
35,21
34,15
26,20
41,25
36,24
29.1,14
27,18
28,17
35,20
31,17
36,23
41,25
41,25
33,18
37,18
41,25
33,19
38,21
34,21
34,24
31,21
41,25
30,18
32,21
42,25
35,23
24,20
40,22
36,24
36,20
31,23
41,25
28,20
34,22
39,23
36,21
40,22
35,24
25,22
27,24
31,25
31,19
37,25
28,19
34,24
24,24
30,16
41,21
30,21
30,20
26,20
31,25
36,17
32,22
40,15
42,21
32,20
36,22
34,15
33,18
43,18
36,19
39,22
33,20
28,19
42,17
40,25
37,22
27,20
33,21
30,20
36,20
41,18
34,19
30,18
34,20
37,20
36,20
30,17
37,18
41,24
32,19
36,17
33,21
36.7,19
32,18
30,25
35,25
35,20
44,19
34,25
27,18
29,20
43,23
41,23
41,25
35,24
35,19
26,18
33,19
34,20
38,25
36,20
27,15
37,19
41,23
40,23
30,22
36,21
36,22
32,20
38,20
26,15
36,20
34,22
36,19
32,18
38,22
39,19
41,22
34,23
35,21
29,19
41,25
41,24
33,21
35,20
34,20
41,24
26,19
30,19
32,23
38,21
27,15
32,22
38,22
19,23
39,22
27,18
35,20
34,19
35,22
27,22
34,21
34,18
40,23
36,21
41,19
28,19
31,18
29,22
31,21
36,21
27,21
34,18
31,24
41,25
38,20
37,18
37,19
32,23
39,17
31,20
27,25
31,19
30,22
41.1,18
34,20
25,12
28,17
40,23
40,21
28,25
29,22
32,18
34,22
40,19
41,24
40,22
30,17
32,18
39,22
25,20
34,23
36,18
34,25
27,25
34,18
37,19
42,20
42,23
31,20
27,19
35,21
22,18
42,21
33,16
28,25
40,25
27,25
41,20
42,21
32,19
34,19
37,20
27,22
29,19
29,21
39,22
34,20
34,20
34,21
35,20
34,19
27,18
36,25
33,17
36,24
28,18
29,19
33,22
42,25
38,21
43,18
27,15
43,25
34,25
39,21
34,25
26,21
32,17
35,24
40,22
27,16
29,23
41,23
27,15
34,20
34,20
40,19
42,21
29,20
31,12
34,25
31,21
38,19
40,22
33,24
40,21
34,18
32,21
37,21
33,23
38,20
28,19
39,23
34,20
27,23
35,19
33,22
34,20
32,22
26,16
38,22
34,20
35,25
34,20
41,25
33,21
33,19
38,22
43,22
42,20
30,20
30,24
38,20
30,19
34,20
41,25
39,25
41,25
36,19
32,19
37,21
29,19
29,20
44,25
26.6,21
15,17
30,16
29,19
36,25
32,21
32,19
36,18
34,21
34,19
32,24
39,24
30,23
34,23
39,23
32,23
38,24
36,19
41,23
29,23
32,22
41,21
28,16
37,21
39,17
29,20
38,20
33,19
34,22
31,21
35,20
29,18
36,23
35,23
41,25
30,22
24,20
41,22
29,20
38,22
30,19
40,23
27,24
39,22
45,24
35,20
41,25
41,23
31,20
40,24
37,17
36,23
27,19
32,20
20,21
39,25
31,23
38,19
37,22
34,23
27,19
36,25
34,20
31,19
29,20
39,25
30.4,23.7
38,19
28,21
33,22
38,25
34,25
36,25
32.9,21
38,23
34,19
34,21
36,16
33,23
36,20
30,20
37,22
33,22
33,21
34,20
39,20
34,19
35,21
41,25
34,20
31,19
40,25
37,17
34,23
32,19
33,20
34,25
41,24
41,20
42,20
29,24
38,24
30,21
28,23
41,25
34,23
38,25
42,25
35,22
36,22
35,19
27,15
41,25
34,20
27,20
31,25
41,25
26,17
33,21
34,22
42,25
34,20
34,20
44,24
41,25
28,15
30,20
37,19
36,16.5
34,19
30,20
34,21
33,24
41,25
32,22
33,20
33,25
41,24
28,20
44,19
29,21
28,25
27,18
33,21
43,25
43,22
38,22
43,19
33,20
28,20
42,19
34,23
34,24
28,17
27,18
34,20
27,16
30,21
41,20
31,19
35,15
43,21
36,25
36,25
33,22
35,21
41,22
39,22
28,20
34,20
33,20
40,19
34,20
29.7,20
43,24
34,22
38,21
37,24
34,21
35,22
13,5
37,20
30,19
35,18
39,22
31,18
40,24
30,20
30,21
35,18
34,20
34,22
40,25
21,20
34,22
32,21
36,20
31,19
33,25
26,20
29,25
42,20
36,23
42,20
38,21
35,25
43,25
30,21
32,20
31,21
42,23
36,25
27,25
28,20
41,25
41,25
30,20
33.9,18
30,23
27,21
34,22
28,19
43,23
33,20
36,20
37,15
33,18
42,25
34,20
38,22
31,22
32,17
34,19
40,22
41,25
30,19
41,25
35,24
41,25
35,23
36,20
29,25
38,20
26,17
43,25
36,18
27,18
30,17
36,20
26,23
37,23
40,21
40,22
28,19
34,22
41,25
35,23
22,18
29,18
38,25
40,25
27,18
33,21
41,19
42,21
34,19
36,22
34,20
41,21
41,25
38,22
38,19
32,22
35,19
38,22
35,21
34,22
41,25
32,23
27,16
33,21
37,22
36,21
32,20
33,18
28,19
43,20
29,21
38,21
36,18
32,19
31,20
37,23
41,15
32,22
38,19
35,21
32,23
36,21
36,18
43,19
36,23
42,25
33,20
39,20
30,16
27,19
38,25
33,17
32,17
36,18
30,20
38,23
31,18
39,23
32,22
