"","lhs","rhs","support","confidence","lift"
"1","{fashion_innovativeness=high}","{Q41.Sex=Female}",0.101154480483782,0.803493449781659,1.21290836942144
"2","{functional_aspect=low}","{Q41.Sex=Female}",0.135788894997251,0.655172413793104,0.989011303476892
"3","{functional_aspect=low,product_cues_8_10=low}","{Q41.Sex=Female}",0.104452996151732,0.64406779661017,0.972248400028131
"4","{functional_aspect=low,product_cues_11_13=low}","{Q41.Sex=Female}",0.118196811434854,0.66358024691358,1.00170329388863
"5","{functional_aspect=low,fashion_innovativeness=low}","{Q41.Sex=Female}",0.118196811434854,0.641791044776119,0.968811543940051
"6","{functional_aspect=low,product_cues_1_10=low}","{Q41.Sex=Female}",0.131940626717977,0.653950953678474,0.987167456216717
"7","{functional_aspect=low,product_cues_1_7_11_13=low}","{Q41.Sex=Female}",0.133040131940627,0.652291105121294,0.9846618425026
"8","{functional_aspect=low,product_cues_1_13=low}","{Q41.Sex=Female}",0.134139637163277,0.654155495978552,0.987476221730279
"9","{aesthetic_aspect=low}","{Q41.Sex=Male}",0.108851017042331,0.434210526315789,1.28636636379222
"10","{fashion_innovativeness=low,aesthetic_aspect=low}","{Q41.Sex=Male}",0.104452996151732,0.44811320754717,1.32755362301026
"11","{aesthetic_aspect=low}","{Q41.Sex=Female}",0.141836173721825,0.565789473684211,0.854083861105045
"12","{product_cues_11_13=low,aesthetic_aspect=low}","{Q41.Sex=Female}",0.117097306212205,0.580381471389646,0.876111117392336
"13","{product_cues_1_10=low,aesthetic_aspect=low}","{Q41.Sex=Female}",0.120395821880154,0.574803149606299,0.867690397621459
"14","{fashion_innovativeness=low,aesthetic_aspect=low}","{Q41.Sex=Female}",0.128642111050027,0.55188679245283,0.833097158067799
"15","{product_cues_1_13=low,aesthetic_aspect=low}","{Q41.Sex=Female}",0.130291368884002,0.566985645933014,0.855889535230003
"16","{product_cues_1_7_11_13=low,aesthetic_aspect=low}","{Q41.Sex=Female}",0.133040131940627,0.57345971563981,0.865662425517689
"17","{}","{Q41.Sex=Male}",0.337548103353491,0.337548103353491,1
"18","{production_cues_a_g=low}","{Q41.Sex=Male}",0.125343595382078,0.334310850439883,0.990409506433463
"19","{product_cues_1_13=low,production_cues_a_g=low}","{Q41.Sex=Male}",0.105002748763057,0.327615780445969,0.970575088975925
"20","{fashion_innovativeness=low,production_cues_a_g=low}","{Q41.Sex=Male}",0.11324903793293,0.341059602649007,1.01040295963932
"21","{product_cues_8_10=low}","{Q41.Sex=Male}",0.125893347993403,0.33044733044733,0.978963671146082
"22","{product_cues_8_10=low,product_cues_1_7_11_13=low}","{Q41.Sex=Male}",0.106102253985706,0.3276740237691,0.970747637192171
"23","{product_cues_8_10=low,product_cues_1_10=low}","{Q41.Sex=Male}",0.113798790544255,0.334410339256866,0.990704246104624
"24","{product_cues_8_10=low,fashion_innovativeness=low}","{Q41.Sex=Male}",0.117097306212205,0.355,1.05170195439739
