"","lhs","rhs","support","confidence","lift"
"1","{}","{fashion_innovativeness=high}",0.125893347993403,0.125893347993403,1
"2","{Q41.Sex=Female}","{fashion_innovativeness=high}",0.101154480483782,0.152697095435685,1.21290836942144
"3","{functional_aspect=high}","{fashion_innovativeness=high}",0.102803738317757,0.129680998613037,1.03008618548959
"4","{aesthetic_aspect=high}","{fashion_innovativeness=high}",0.108301264431006,0.144534115920763,1.14806793388589
"5","{sustainable_commitment=low,functional_aspect=low}","{fashion_innovativeness=low}",0.11654755360088,0.909871244635193,1.04091559370529
"6","{Q41.Sex=Female,functional_aspect=low}","{fashion_innovativeness=low}",0.118196811434854,0.870445344129555,0.995811371680289
"7","{functional_aspect=low,production_cues_a_g=low}","{fashion_innovativeness=low}",0.129191863661352,0.914396887159533,1.04609304260578
"8","{functional_aspect=low,product_cues_8_10=low}","{fashion_innovativeness=low}",0.145134689389775,0.894915254237288,1.02380556443876
"9","{functional_aspect=low,product_cues_11_13=low}","{fashion_innovativeness=low}",0.158328752061572,0.888888888888889,1.01691125087351
"10","{functional_aspect=low}","{fashion_innovativeness=low}",0.184167124793843,0.888594164456233,1.01657407870811
"11","{functional_aspect=low,product_cues_1_10=low}","{fashion_innovativeness=low}",0.179769103903244,0.891008174386921,1.01933576679862
"12","{functional_aspect=low,product_cues_1_7_11_13=low}","{fashion_innovativeness=low}",0.180868609125893,0.886792452830189,1.01451287528183
"13","{functional_aspect=low,product_cues_1_13=low}","{fashion_innovativeness=low}",0.182517866959868,0.890080428954424,1.01827440268434
"14","{aesthetic_aspect=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.104452996151732,0.95959595959596,1.09780191855664
"15","{aesthetic_aspect=low,product_cues_8_10=high}","{fashion_innovativeness=low}",0.107751511819681,0.937799043062201,1.07286569769191
"16","{aesthetic_aspect=low,sustainable_commitment=high}","{fashion_innovativeness=low}",0.107751511819681,0.928909952606635,1.06269635458583
"17","{aesthetic_aspect=low,production_cues_a_g=high}","{fashion_innovativeness=low}",0.108851017042331,0.908256880733945,1.03906872078934
"18","{production_cues_a_g=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.124244090159428,0.949579831932773,1.0863432165319
"19","{sustainable_commitment=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.125343595382078,0.930612244897959,1.06464381979207
"20","{product_cues_8_10=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.125343595382078,0.923076923076923,1.05602322206096
"21","{Q41.Sex=Female,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.128642111050027,0.906976744186047,1.03760421237385
"22","{functional_aspect=high,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.14238592633315,0.911971830985915,1.04331871733546
"23","{product_cues_11_13=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.188015393073117,0.931880108991826,1.0660942882114
"24","{product_cues_1_10=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.19736118746564,0.942257217847769,1.07796596180194
"25","{product_cues_1_13=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.215503023639362,0.937799043062201,1.07286569769191
"26","{product_cues_1_7_11_13=low,aesthetic_aspect=low}","{fashion_innovativeness=low}",0.216602528862012,0.933649289099526,1.06811827476229
"27","{aesthetic_aspect=low}","{fashion_innovativeness=low}",0.233095107201759,0.929824561403509,1.06374269005848
"28","{production_cues_a_g=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.11324903793293,0.903508771929825,1.03363676486815
"29","{product_cues_8_10=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.117097306212205,0.930131004366812,1.06409326851776
"30","{Q41.Sex=Male,product_cues_1_13=high}","{fashion_innovativeness=low}",0.11434854315558,0.888888888888889,1.01691125087352
"31","{Q41.Sex=Male,product_cues_1_7_11_13=high}","{fashion_innovativeness=low}",0.126443100604728,0.894941634241245,1.02383574382693
"32","{sustainable_commitment=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.133589884551952,0.945525291828794,1.08170472065193
"33","{Q41.Sex=Male,product_cues_1_10=high}","{fashion_innovativeness=low}",0.1434854315558,0.903114186851211,1.03318534961154
"34","{product_cues_11_13=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.152281473336998,0.938983050847458,1.07422023238461
"35","{Q41.Sex=Male,product_cues_11_13=high}","{fashion_innovativeness=low}",0.160527762506872,0.915360501567398,1.04719544173025
"36","{product_cues_1_10=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.16932380428807,0.947692307692308,1.08418384131592
"37","{Q41.Sex=Male,sustainable_commitment=high}","{fashion_innovativeness=low}",0.179219351291919,0.913165266106443,1.04468403713687
"38","{product_cues_1_7_11_13=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.186366135239142,0.949579831932773,1.0863432165319
"39","{product_cues_1_13=low,Q41.Sex=Male}","{fashion_innovativeness=low}",0.19846069268829,0.95,1.08682389937107
"40","{Q41.Sex=Male,product_cues_8_10=high}","{fashion_innovativeness=low}",0.195711929631666,0.924675324675325,1.05785183370089
"41","{Q41.Sex=Male,production_cues_a_g=high}","{fashion_innovativeness=low}",0.19956019791094,0.940414507772021,1.0758578551178
"42","{aesthetic_aspect=high,Q41.Sex=Male}","{fashion_innovativeness=low}",0.208356239692139,0.911057692307692,1.04227291969037
"43","{functional_aspect=high,Q41.Sex=Male}","{fashion_innovativeness=low}",0.246838922484882,0.927685950413223,1.06129606528406
"44","{Q41.Sex=Male}","{fashion_innovativeness=low}",0.31280923584387,0.92671009771987,1.06017966525311
"45","{Q41.Sex=Female,product_cues_1_13=high}","{fashion_innovativeness=low}",0.178669598680594,0.810473815461347,0.927202434166157
